Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
SOLIGARAN	SOLIGARAN	CODI_PSV	Código do produto/serviço Peça chave/causadora	dtString	T	F
SOLIGARAN	SOLIGARAN	NUME_MOD	Modelo de Impressão	dtInteger	T	F
SOLIGARAN	SOLIGARAN	DUMANUT	Data da última manutenção	dtDateTime	T	F
SOLIGARAN	SOLIGARAN	DINSERT	Data da inserção	dtDateTime	T	F
SOLIGARAN	SOLIGARAN	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
SOLIGARAN	SOLIGARAN	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
SOLIGARAN	SOLIGARAN	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
SOLIGARAN	SOLIGARAN	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
SOLIGARAN	SOLIGARAN	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
ISOLIGARAN	ISOLIGARAN	CODI_SGA	Número da Solicitação da Garantia	dtInteger	T	F
ISOLIGARAN	ISOLIGARAN	CODI_PSV	Código do produto/serviço	dtString	T	F
ISOLIGARAN	ISOLIGARAN	QUAN_ISG	Quantidade	dtDouble	T	F
ISOLIGARAN	ISOLIGARAN	FALH_ISG	Falha	dtString	T	F
ISOLIGARAN	ISOLIGARAN	AUXI_ISG	Auxilio	dtString	T	F
ISOLIGARAN	ISOLIGARAN	OPER_ISG	Operação	dtString	T	F
ISOLIGARAN	ISOLIGARAN	TEMP_ISG	Tempo da Operação	dtString	T	F
ISOLIGARAN	ISOLIGARAN	VLOR_ISG	Valor unitário	dtDouble	T	F
Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
ISOLIGARAN	ISOLIGARAN	TOTA_ISG	Total do item	dtDouble	T	F
ISOLIGARAN	ISOLIGARAN	TIPN_ISG	Tipo da Nota: (E)mpresa / (T)erceiros	dtString	T	F
ISOLIGARAN	ISOLIGARAN	SEQN_ISG	Código sequencial da nota de compra	dtInteger	T	F
